text,category
"Sir aap ""shemale"" bhool gaye hai,, jiska penis hota hai aur breast bhi , aur ladki jesi shakal ,, aur ye sex bhi karte hai ,, aur sperm bhi nikalta hai inka......",Non-anti-LGBT+ content
 @sk  but money kitna lgega,Non-anti-LGBT+ content
 @Ankit Sharma  society pe kya depend karta hai. If it is natural so how it is depend on society.,Non-anti-LGBT+ content
 @NEERAJ CHOPRA(REAL ID)  ab aayi baat samajh me.,Non-anti-LGBT+ content
Are wah ... phle or ab k khan sir me to bhtt hi different aa gya h.. sir develop kr gye h ab ☺,Non-anti-LGBT+ content
Gao reheke aaee ka Kya Matlab hai  sabsejada protection to gao me he hota hai because every body knows every one . What are you saying village are goons . Sabse nada kotha tho city hai jahape pati patni kam ke nam pe kahi Jate hai kuch bi karthe hai.bath karte samey dyan rakho ki Kya bol rahihooo,Non-anti-LGBT+ content
kush to gadbad he daya,Non-anti-LGBT+ content
4:30 Sir agar yeh mansik rog hai to iska koi ilaj nahi hai kya ?,Non-anti-LGBT+ content
Inter sex me ladka paida hoga ya nahi?,Non-anti-LGBT+ content
Shi h 👍,Non-anti-LGBT+ content
"Homosexual is a Natural not a mental illnesses
Is pr ayushman khurana ki movie bhi bani hai ""shubh mangal jyada savdhaan""🙏🙏

Respect 🙏for LGBTI",Non-anti-LGBT+ content
"Is teacher ko samne se kiss karenge,tab usko puchenge farak laga ya nhi?
Tab usko asli me experience hoga , practically ..
Theory to samjha chuka vulchuk karke",Non-anti-LGBT+ content
" @neuclear tech gaming  unhone sexuality aur gender koh merge kya ,,,,,, transgender  ladki bhi hoti hai, ladka bhi hota hai , gay bhi hota hai lesbian bhi hota hai , cisgender ladki bhi hoti hai ladka bhi hota hai gay bhi hota hai lesbian bhi hota hai",Non-anti-LGBT+ content
Monti ka bap,Non-anti-LGBT+ content
👍,Non-anti-LGBT+ content
Shukriya janab kash har koi aap ki tarah samjhte to zindgi asan ho jayegi.,Non-anti-LGBT+ content
आपका समझाने का तरीका बहुत ही अच्छा है सर हर एक टॉपिक को बड़े बेहतरीन तरीके से समझाते हैं,Non-anti-LGBT+ content
"earlier, I thought u got good mindset but rn ehhhw you calling is abnormal!??",Non-anti-LGBT+ content
Me lesbian hu,Non-anti-LGBT+ content
Marwaega ka screenshot leke ghar me bolenge yahi sab padh rahe ho.,Non-anti-LGBT+ content
Sir apko yhi nhi pta hai ki there is a huge difference in between GENDER and SEX. ....lol..........,Non-anti-LGBT+ content
"Yes 
This is seen in some gorillas , monkeys , giraffe , dogs , and some birds 
It is natural",Non-anti-LGBT+ content
Ye koi bimari nahi hai dost,Non-anti-LGBT+ content
Sir intersex me ak hi person dono ling hote hai penis or virgina ...or hota hai to ak male ya female me 2 gupt ang kese manage hoge ....kyoki space to 1 gupt ang ki hi hoti hai,Non-anti-LGBT+ content
" @rajeev ranjan  who is this indian industrialist ?,can you name him plzz",Non-anti-LGBT+ content
 @ज्योति शर्मा  Bilkul aapko haq he ...but jede aapko he wese hi hume bhi he humare baat rakhne ka haq,Non-anti-LGBT+ content
Aapne queer Ke bare me nahi bataya kya hota queer ?,Non-anti-LGBT+ content
 @Ram Kumar   isliye proper information hona important hota he... Cz LGBTQ community me anewale log koi patient nhi hote he jinko ap treat kroge thats a normal personality trait... Agar aj bhi yaha survey kiya jaye to bohot se log is community se belong krenge and I always says that IT'S NOT A CRIME😊,Non-anti-LGBT+ content
Sir bhim rav ambedakar ke baare me video banaye,Non-anti-LGBT+ content
Sir testosterone level KO kaise thik kare  kya khaye or kya avoid kre,Non-anti-LGBT+ content
Femboy bhii hota he sir,Non-anti-LGBT+ content
 @sk  lgbt nhi hai ye,Non-anti-LGBT+ content
Thailand mein jyada couple gay hote hai,Homophobia
male female ko disorder isleye nahi kehte h kyunki usse off springs nikalte h hamare genes ke. Par vo chiz LGBT me nahi hoti na,Non-anti-LGBT+ content
HOMO SEXUAL LOGON KO MANSOPCHAR TADNYA KE PAAS JAANE KI SALAH KYON NAHIN DIYA JAATA,Non-anti-LGBT+ content
Gourav mujhe bahut pasand thaaa yrrrr❤️☹️,Non-anti-LGBT+ content
"gay hona koi bimari nahi he .ye natural he.koi bhi dil or Surat se beutiful ho uspe dil aana wo chahe sexually ho ya koi or chahat se .,wo swabhavik he jahaz he",Non-anti-LGBT+ content
Plz make videos in English.,Non-anti-LGBT+ content
"Baayka'; ""purush"" zhaalya aahet assa ek hi 'video' nahi aahe naa?, pan 'purush' ""baayka"" zhaalela video aahe?, pan 'evadha' saagla aasoon dekhil purushanchyaa, ""navane"" khade, phodayche chal le la aahe!!!!!!!,..............????????",Non-anti-LGBT+ content
" @ã   Inbreeding depression bolte h,  scientifically proved h....  Qurn kitab ke kido ko samajh nhi ayega",Non-anti-LGBT+ content
Last may jo aap bol rahe h usko follow b Karo khud ladke hoke ladki ki awaz nikal rahe ho,Non-anti-LGBT+ content
Pahli bar sir samj me aya 🙏🙏,Non-anti-LGBT+ content
Aesa nahi hh...but jo larki hai unko larka bnna psnd h jo larke h unhe larki bnna psnd .h to wo.apni.life aage jee skte hhh.....isme koi galt bat ni haiii....or hum or ap norml h jo normal nhi h unse  pucho unhe kaisa feel hota h,Non-anti-LGBT+ content
Mota maal,Non-anti-LGBT+ content
Shadi bi kon karta hai yaar kahanse milte pata bi nahi,Transphobia
 @Lata Gidwani  देखती हूं,Non-anti-LGBT+ content
Bahutai Dhansu Video hai bhai Upsanhar News Apka,Non-anti-LGBT+ content
Suchchi,Non-anti-LGBT+ content
Haan😂!!,Transphobia
Sir tom boy  hetro sexual mai aate hai or homo sexual mai,Non-anti-LGBT+ content
"totttaly agree with uh brp..
pta nhi kya dimag me aata hai apni body ke saath khilwar krte h..",Non-anti-LGBT+ content
Naa sirji aapka concept ee wala subject me clear naa hau,Non-anti-LGBT+ content
" @Nakul Das  Fyi gays namard nhi hote,ek male ki sari qualities hoti hai bas attraction males ki taraf hoti hai",Non-anti-LGBT+ content
 @Savage Diva  hamne suna hai  ki jo apne aap ko jayada akal mand kehta hai we log to sabse bade murkh hote hai sister,Non-anti-LGBT+ content
"Kon kon LGBT community vale dekh rhe ho please like here 🏳️‍🌈👍
👇
👇",Non-anti-LGBT+ content
ek tarfa style hai guru ji k pdhaane k .. maan gye guru ✌️,Non-anti-LGBT+ content
Sir Aap live kab padhete hai,Non-anti-LGBT+ content
"Jo bhi hai harmonal, mental...unhone pehle hi bol diya tha ki dukhi mat hona...",Non-anti-LGBT+ content
" @LIMITED GAMER  bhot h bhai aapke Or mere jese , or ye hame homophobe transphobe kehte h😂😂 USA m bhi inke oppose kra gya h watch Ben shapiro. He oppose this",Non-anti-LGBT+ content
Wahh,Non-anti-LGBT+ content
#Narendra kalasua nahii kue ke uska utras nahi hota,Non-anti-LGBT+ content
"bas ek baat batao,

ye mard hai ki janana?",Non-anti-LGBT+ content
Bhai ji os ko ladki ko kya kehete hai jiska guptag hota hai...,Non-anti-LGBT+ content
Thank you very much Guruji for information 👍,Non-anti-LGBT+ content
 @Eren Yeager  you are trying to educate me regarding lgbt topic but then your first words are “ bts gay”…😑…Tuh pehle sides decide karr..,Non-anti-LGBT+ content
Ekdam sahee,Non-anti-LGBT+ content
Lesb gay ya bi ye koi chhakar hi hota hai,Homophobia
Sir ye sahi nhi hai lgbt wale rangdar k tarah train me manmana paisa mangte hain family k samne kahi v gandi aslil tarah se krte hain kahi v nanga ho jate hain esko kaise sahi maan sakte hain ....job to wolg k liye v option deta hai transgender wale v form bhr sakte hain wolg Jan bujh k khud ko alag dikhate hain,Transphobia
"ghareeb  ko  chahiye  ,  do  waqt  kee  roti  ,  bane  ""muslim  rashtara""  ya  ""hindu  rashtara""!",Non-anti-LGBT+ content
"जय हिंद सर आपने बहुत ही अच्छी जानकारी दी है तहे दिल से धन्यवाद

जो यह रोग से पीड़ित हैं उन्हें कौन से डॉक्टर से सलाह करके इलाज कराना चाहिए सो भी बताइएगा

इस रोग से बाहर आ सकते हैं क्या
क्या यह शारीरिक दोष समझ के स्वीकार कर लेना चाहिए
कृपया बताइएगा धन्यवाद",Non-anti-LGBT+ content
Hr chij me pyesa lgta h to isme bhi lgega,Non-anti-LGBT+ content
Sir lesberian female ki mentally change nhi kar sakate h kya  koi consular ke jariye .hamare mohalle me ek tom boy ladki rahti h,Non-anti-LGBT+ content
"Sex organ means gamete producing organ i.e. testies (andakosh) in male OR ovary(andashay)... 
Transgenders don't have these.",Non-anti-LGBT+ content
I'm gay from up North hamne kabhi apna nahi soncha onli ma bap ko khush dekhna chahta hu isliye kabhi kisi ko bola nahi ab kam ki talash hai kisi maim ya Sir ko family draivar ki zarorat hai to bolna pleez mujhe khana bhi banana aata hai shukriya,Non-anti-LGBT+ content
 @Sabita Hansda  tumarhe parents tumhe moral values sikhana bhul gye,Non-anti-LGBT+ content
Mard se aurat bane ine logon ne kya abhi tak koi bacche paida kiye Hain ya nahin,Transphobia
"Sir ji apka transgender wala topic wrong h ,, transgender or kinnar alg h,,,, transgender means jo apna xender purus se mahila or mahila se purush m paribartan karta h by operation,",Non-anti-LGBT+ content
Sir ap ko dil se salute,Non-anti-LGBT+ content
Mujhe bhi apna ling chanj karwana hai,Non-anti-LGBT+ content
Natural to bilkul ni h ye...agar koi janm se andha lngda paida hota h..ya khud se roshni chli jati h...to kya usko illness ni bologe?,Non-anti-LGBT+ content
Hii,Non-anti-LGBT+ content
सर आप किसी भी टॉपिक को बहुत अच्छा समझाते है....,Non-anti-LGBT+ content
Bahut Achha explanation 🏵✍️,Non-anti-LGBT+ content
Jiya ho Bihar me lala bahut achaa samjhi ha ha khan sir,Non-anti-LGBT+ content
Sir jaruri nhi ldka attact h to dusra ladka attacrt ho jaye,Non-anti-LGBT+ content
सर इंटर सेक्स वाला है वो कैसे किसके साथ सेक्स करेगा,Non-anti-LGBT+ content
"He's wrong in this topic. Stop idolizing him. He's not educated enough about gender identity, queer Or LGBTQ+ community.",Non-anti-LGBT+ content
Tumhare  zamane mai rog hoga is zamane mai nahi hai update kar lo khud ko,Non-anti-LGBT+ content
Daya ben voice over kr rhi h is video ka🤣😂,Non-anti-LGBT+ content
Meko aaj samjh aya re baba.,Non-anti-LGBT+ content
Natural to bilkul ni h ye...agar koi janm se andha lngda paida hota h..ya khud se roshni chli jati h...to kya usko illness ni bologe?,Non-anti-LGBT+ content
"If you don't have enough knowledge on a particular topic, just don't make video about it. Get a medical degree before calling homosexuality as a "" Mental disorder """,Non-anti-LGBT+ content
Thanks sir i randomly found this video but this is super..i used to  be confuse every time when i read about them any where but now my concept is clear...,Non-anti-LGBT+ content
जो इन्टर सेक्सुअल होते है क्या वो किसी लडकी या लडके से या दोनो से बारी बारी सेक्स कर सकते है और वच्चा हो सकता है,Non-anti-LGBT+ content
Mentally disorders Nahi hota hai 😂 hormones ki waja se hota teacher ji phele khud Tu Sahi information collect karlo😂😂😂😂,Non-anti-LGBT+ content
"Mujhe 🙃
I acpt myself",Non-anti-LGBT+ content
Khan sir  ap great ho,Non-anti-LGBT+ content
Tera appreciation manga kon ?,Non-anti-LGBT+ content
Bhagwan dushman k saath bhi na kre ye sab....,Non-anti-LGBT+ content
अबे यार गूगल पर डालो तो साला समझ है नहीं आता सही से।पर आज सब आ गया 👍🙏🙏,Non-anti-LGBT+ content
Hi,Non-anti-LGBT+ content
Ab jankari juta hi liye to try krke dekh lo,Non-anti-LGBT+ content
 @Aryam  iske cause bhi pata honge tabto?,Non-anti-LGBT+ content
Nai,Non-anti-LGBT+ content
😐,Non-anti-LGBT+ content
Apko Esme bohat interstate he sayad😀😀,Non-anti-LGBT+ content
12 ki live class kb chalti h please btaiye,Non-anti-LGBT+ content
"जय हिंद सर आपका बहुत-बहुत धन्यवाद
आमिर खान का एक सीरियल आता था सत्यमेव जयते उसमें भी यह सवाल उठाया था",Non-anti-LGBT+ content
Taki sb confused hoke pgla jaye.😐,Non-anti-LGBT+ content
"Jab XX  XYL Mil Jaata Hai 
Tab Gay Paida Hota Hai

XX in MALE
XY in Female
L in Lib
= Neutral

XL = नामर्द
YL= बांझ औरत (Rare )",Non-anti-LGBT+ content
depends tomboy sirf ek term hai ye koi sexuality nhi hai,Non-anti-LGBT+ content
Waah guru waah bohat asha samjate ho aap,Non-anti-LGBT+ content
"Thank u sir, mughe isme  bahut confusion lekin ab khatam ho gaya",Non-anti-LGBT+ content
"Isse jyada koi nahi smjha skta..!!
😊😊",Non-anti-LGBT+ content
Sir bisexual m dal sakte h. Qya jaise earthworm 🙏🏼🙏🏼,Non-anti-LGBT+ content
Transzender nahi samjhe,Non-anti-LGBT+ content
Nikki to sakti m aa rhi h heer ki nand ban kar sayd,Non-anti-LGBT+ content
Yes... Jabse insaan ka astitva raha hai,Non-anti-LGBT+ content
Khan Sir Aap Mujhe bahut pasand hai,Non-anti-LGBT+ content
🤣🤣🤣🤣waaah kya samjhaya h,Non-anti-LGBT+ content
"Hamare desh ko samajik sudhar, sahi soch ki bahut jarurat hai",Non-anti-LGBT+ content
"Kinnar, hijada, chakka 😂😂😂😂😂😂😂😂 desi language OP 😂😂",Transphobia
Bhagwan ka sukra manaiye ki aap ko bhagwan ne sahi paida Kiya hai. Kya bat boli hai sir aapne,Non-anti-LGBT+ content
10 million kar do khan sir kai ❤️❤️,Non-anti-LGBT+ content
"Sir beshak aapne pura topic cover kar liya. But out of respect I would like to add some things :- 
1. Transgender bi 2 tarah ke hote h - MALE transgender(jinki body male ki lekin private part female ka) & FEMALE transgender(body female ki aur private part male ka)",Non-anti-LGBT+ content
Sab ladke ladki bne ...par koi ladki ladka nhi bani😂,Non-anti-LGBT+ content
Respect her...she is so knowledgeable person..aysa lag rahi hai unke baaten sirf sunte jau...wow...God bless ..actually  kinnar kuchh nehi hota ..sab ham insaan hai,Non-anti-LGBT+ content
XD,Non-anti-LGBT+ content
 @rajeev ranjan  एक काम करो भाई आप आप लड़का से लड़की बनजाई translet कर के किया दिकत है,Non-anti-LGBT+ content
 @Rahul Mittal  🙏🙏,Non-anti-LGBT+ content
"कबीर, मानुष जन्म दुर्लभ है मिले न बारंबार तरूवर से पत्ता टूट गिरे बहुर न लगता डार।।",Non-anti-LGBT+ content
"purani video hai , nayi video dekho usme accha hai",Non-anti-LGBT+ content
Itna gyan kah a se laye sir,Non-anti-LGBT+ content
Normal topic hai bro - tumhare liye new ho ga,Non-anti-LGBT+ content
❤❤❤❤,Non-anti-LGBT+ content
Sir non binary kya hota hai,Non-anti-LGBT+ content
Do your homework before making a video on sensitive topic,Non-anti-LGBT+ content
"please remove these two vulgar words -  हिजड़ा, छक्का 😡😡😡😡😡😡😡 this is totally disrespectful",Non-anti-LGBT+ content
"Being lgbt is not a mental disorder, this guy needs to educate himself!! I'm a lesbian and a very very proud one! I am as normal as everyone else! And yeh kam nahi hota hai, itna ghatiya samaaj hai ki log apne andar ghut te rehte hain bata nahi pate.",Non-anti-LGBT+ content
"Sir merko naa to ladki passand aa rahi hai aur na ladka.

Khadda bhi ho jaata hai..😂😂😂😂😂


Doctor ke paas jaaun kya?😑😑",Non-anti-LGBT+ content
 @Juhi sha  jaky fir khud puchoo allh se Kyu banaya  inko chakka...waisa b Jo alaah. Janta hai woh koi nhi janta,Non-anti-LGBT+ content
 @Anurag Pawar   Abe To Kya Hua Fir Bhi to samajh a Raha Hai Na Sabko Aisa To Nahin kya samajh Nahin Aata hoga han aur Gyan kisko de raha hai tu Tujhe Kuchh bola kya Teri Itni Kyon jal rahi hai,Non-anti-LGBT+ content
"चाहे जो हो धर्म तुम्हारा चाहे जो वादी हो 
नहीं जी रहे अगर देश के लिए तो अपराधी हो ।🙏🌺🌺🌺🌿",Non-anti-LGBT+ content
"Nice explanation ... Hame in logo ki respect krni chahiye qki ye bhi hmare samaj ka hissa h.
Pr kuch mansik roop se bimar log inhe inke hi samaj m rhne se rokte h inhe vanchit rakhte h or bhul jate h ke ye samaj or vatabaran jitna unka h ,utna hi in logo ka,. Mansik roop se ye log bimar nhi h, balki vo log bimar h jo normal hote hue bhi inke sath abnormal pesh ate h , yr ye bhi insan inhe bhi us nature ne banaya h jisne hme .. Thodi to respect kia kro",Non-anti-LGBT+ content
"Sir, male male se kaise hoga.... Loha loha takrayega to chingari niklegi",Non-anti-LGBT+ content
"Sir , Usko kiya bolte hei ..jo operation karke Ladka see ladki banke Shadi boy se kar leite hei ...kiya wo 3rd gender hei ..meine toh ushe transgender samja thaa ...🙄🙄🙄 3rd gender train mei milnewale ko",Non-anti-LGBT+ content
"Please
Inter-sex फिर से समझाए",Non-anti-LGBT+ content
Bhai tuje konsi bimari he. Mentally ya physically wo bhi bata,Non-anti-LGBT+ content
Bilkul sahi kaha,Non-anti-LGBT+ content
Kisi ladki ko ladko ki aur dekhana bura mana jata hai isiliye phir woh ladkiya ki aur attract ho sakti hai ya,Non-anti-LGBT+ content
" @Kishori Ji  Tumhari soch etni gawaro jaisi hai... Homosexuality se Kya ho jayega... Apni purani soch ke Sath Jio.. Tum
 you can't growing your self... Kya matter karta hai.. Sabki apni personal life isse Kisi ko kya dukh hoga... And don't think ...im not agay because I'm married I have my own kids 😎",Homophobia
Ghar wale maarenge ya datenge but they will save you from any condition … and they are the only one who will standup at any cost nor your friends… talk to them ❤,Non-anti-LGBT+ content
Jai hind sir,Non-anti-LGBT+ content
Aawaz record achi nhe hoi,Non-anti-LGBT+ content
सर फीमेल फीमेल कैसे रिलेशन  बनाती है,Non-anti-LGBT+ content
खान सर जी इस कलयुग में सब कुछ इधर-उधर हो गया है बताएं आज के डेट में लोग कुत्ता कुत्ते गाय भैंस गधा किसी को नहीं छोड़ते इसका प्रभाव क्या है वैसे तो हर एक प्रजाति को अपनी प्रजाति के प्रति ही लगा होना चाहिए लेकिन यह क्या है कि लोग किसी भी जीव को अपना आधार बना देते हैं और हवस मिटाते हैं,Non-anti-LGBT+ content
Bisexuality sabse jyada khatarnak he. Na iss paar na uss paar.,Non-anti-LGBT+ content
Phir gender change krvate h Vo kis category me aye honge??,Non-anti-LGBT+ content
Mai Hindu  hu  but  mai  saare  videos  dekhta  hu...aur  khan  sir  ko real  Indian  deshbhakt  ki  tarah  dekhta  hu...the  real  hero,Non-anti-LGBT+ content
 @Harshwardhan Bhadane  kya kah rahe ho sisy kya he Mera bf tha per abhi brekap ho gaya or usko ladkai pasnad he or vo sirf sex k liye muzhe use Kiya or muzhe usane sirf paiso ki help ki thi vo bhi abb kah raha he ko ab mene mesej kiya to vo police case karega usane muzhe paiso ki dhamki de alag kar diya pr muzhe barabad,Non-anti-LGBT+ content
Bhut km nhi bhut log h...homosexual 😂 khud bahar nhi aate sir,Non-anti-LGBT+ content
Sir i still have confusion with inter sex 🤔,Non-anti-LGBT+ content
Bn gye h  transman ka hmara group h,Non-anti-LGBT+ content
Aapko Dil se Dhanyawaad Sir Itna Kuch Samjahne Ka Liye ❤️,Non-anti-LGBT+ content
"Haa sahi kaha,
But muzhe to ladki ke sath hi hai but ladki milti hi nahi😔😔",Non-anti-LGBT+ content
aisa bh hota hai koi ldki ho...woh ldka bnna chaa raha ho...yaa woh dikhh bilkul ldki ki trnh raha ho....pr uski lowwr body ldko ki trnh ho....kya je possible hai??? kahi woh ldki ....transgender toh nahi??? if someone knows plz rply me...agr trtmt possible thn also rply me,Non-anti-LGBT+ content
Very good. Bahut achha samjhaya,Non-anti-LGBT+ content
Bhagwan ka shukr sahi  salamat paida kiya aani bat sir,Non-anti-LGBT+ content
"Fake hai bhai, pura toh english mein bola, jis ko English samajh na hai unko to samjha rahi hai.",Non-anti-LGBT+ content
Mujhe to bilkul bhi interest nai hai shaadi me. Mujhe female jaisa banna pasand hai.,Non-anti-LGBT+ content
"Sir I feel I m bi sexual, 
पता नहीं हु या फिर वो मेरी हवस थी",Non-anti-LGBT+ content
 @sk  isa foreign country me bhi hota hi but vo log dimaag se bhut sankirn ho gaye hi . Or kanun Kya hi sabse bada uparwaale ka kanun hi . Bible kahati hi ye galat hi. Bible ke anusaar isa karna galat hi ise log narak ki aag me daale jayenge.,Non-anti-LGBT+ content
khan sir ye shemale kis group me ate hai. jinke pas breast hota hai aor penis v hota h. aor wo body relasn v bana sakte hai???,Non-anti-LGBT+ content
 @Manoj Ji  bhai develop hi nhi hua toh issliye lactation bhi nhi hota. Sunaa karo sir kya bol rhe hai.,Non-anti-LGBT+ content
asexual,Non-anti-LGBT+ content
Khan sir salute,Non-anti-LGBT+ content
sab kuch thik tha... bs ye rog nhi hai... 4:26  bhagwaan ki banawat hai... prakritik hai.... Aur aap bhot ache video bnate hai..  bnate rahiye,Non-anti-LGBT+ content
Inter sex baby hoga,Non-anti-LGBT+ content
 @hey  how you doin,Non-anti-LGBT+ content
Transgender or Transexual b bta dete jb itna btaya aapne to...,Non-anti-LGBT+ content
" @Krishna K. B.   chacha, class 1 me hoke ese badon ki baatein nehi karte. Spelling toh aati nehi aaya bada baat karne harmonal 😂😂😂",Non-anti-LGBT+ content
"Mera soch kahata hai
Aapke jaisa dusara teacher to hai hi nhi sir ji 
Bahut aasan bhasha me explain karte hai aap 
Jo aapke samjhane se nhi samjhega usko koi nhi samjha payega.",Non-anti-LGBT+ content
Yep- I am bisexual myself 😌👑,Non-anti-LGBT+ content
Insano ka kaam khali bcche peda krna hota h khud li life jine ka hk nhi h??,Non-anti-LGBT+ content
Kas ldki v ldka ban skti thi,Non-anti-LGBT+ content
Kuch bhi,Non-anti-LGBT+ content
Kya lesbian ko periods hoti haii ??,Homophobia
